source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Exclusive Excerpt--Lewandowski &amp; Bossie: ‘Trump: America First: The President Succeeds Against All Odds’ https://t.co/8NVtLK2VU9 via @BreitbartNews,10-05-2020 16:21:56,9198,35689,false,1313152454058340352
Twitter for iPhone,Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgainhttps://t.co/3AnrRV7uSz,10-05-2020 15:17:47,14906,53087,false,1313136308152401922
Twitter for iPhone,TODAY is the LAST day to register to VOTE in ARIZONA FLORIDA GEORGIA OHIO AND TEXAS! Click below for more information and let’s #MAGA! https://t.co/gsFSghkmdM,10-05-2020 12:08:17,24411,89022,false,1313088617863098368
Twitter for iPhone,PEACE THROUGH STRENGTH (BRING OUR SOLDIERS HOME). VOTE!,10-05-2020 11:14:48,36274,195203,false,1313075159721537537
Twitter for iPhone,SAVE OUR SECOND AMENDMENT. VOTE!,10-05-2020 11:12:53,41864,219130,false,1313074676168568832
Twitter for iPhone,FIGHT THE CORRUPT FAKE NEWS MEDIA. VOTE!,10-05-2020 11:10:26,51729,273196,false,1313074061757554688
Twitter for iPhone,PROTECT PREEXISTING CONDITIONS. VOTE!,10-05-2020 11:08:34,34593,187107,false,1313073591974592512
Twitter for iPhone,BETTER &amp; CHEAPER HEALTHCARE. VOTE!,10-05-2020 11:07:04,32005,176203,false,1313073215279779841
Twitter for iPhone,PRO LIFE! VOTE!,10-05-2020 11:05:18,53648,316750,false,1313072768372617217
Twitter for iPhone,MASSIVE REGULATION CUTS. VOTE!,10-05-2020 11:04:00,28698,155378,false,1313072443905454082
Twitter for iPhone,SPACE FORCE. VOTE!,10-05-2020 11:02:03,38658,243779,false,1313071950781181953
Twitter for iPhone,BEST V.A. EVER. 91% APPROVAL RATING. VOTE!,10-05-2020 11:00:58,27974,153648,false,1313071677534765056
Twitter for iPhone,401(K). VOTE!,10-05-2020 10:57:40,29775,182338,false,1313070848027357188
Twitter for iPhone,BIGGEST TAX CUT EVER AND ANOTHER ONE COMING. VOTE!,10-05-2020 10:54:07,34298,183216,false,1313069956167340032
Twitter for iPhone,RELIGIOUS LIBERTY. VOTE!,10-05-2020 10:51:46,34932,193526,false,1313069363889569794
Twitter for iPhone,LAW &amp; ORDER. VOTE!,10-05-2020 10:50:40,34826,185227,false,1313069086931378177
Twitter for iPhone,STRONGEST EVER MILITARY. VOTE!,10-05-2020 10:49:08,33916,197126,false,1313068701176999941
Twitter for iPhone,STOCK MARKET HIGHS. VOTE!,10-05-2020 10:47:44,34096,202910,false,1313068347085422594
